Acc,DP
0.68,0.1264351917091609
0.662,0.12257675497326914
0.679,0.13016209686926022
0.684,0.1297741884830073
0.675,0.13713085570093891
0.663,0.1332741763802346
0.675,0.14300539705132814
0.677,0.1396539543466725
0.681,0.14479018656084858
0.677,0.1414566306984804
0.676,0.13191298358862485
0.672,0.12402276236812759
0.665,0.12353024844651678
0.676,0.12022783965221218
0.671,0.11544902890097347
0.665,0.10447696054597555
0.662,0.10604095574231415
0.657,0.09469114665029538
0.666,0.09119851170946208
0.653,0.07791308805294583
0.643,0.063660258084629
0.641,0.05650897149903855
0.625,0.04809440495625711
0.561,0.0025777278063870424
0.551,0.008068202126049306
0.548,0.01792287574532736
0.508,0.024844043910135505
0.457,0.03192275588250648
0.449,0.03456750938063302
0.452,0.036834674428993186
