Acc,DP
0.668,0.08669188408371484
0.676,0.08872452021983687
0.642,0.09332956338230478
0.67,0.0807668583424547
0.671,0.09128383753101219
0.676,0.10068679421583385
0.676,0.10067271979519793
0.664,0.08541326416278203
0.631,0.04091815814837699
0.648,0.1007664608847216
0.667,0.10802677783543746
0.684,0.11107210326370096
0.682,0.10867071417693983
0.681,0.10201464238436594
0.601,0.036466187527837285
0.589,0.012795461558509025
0.648,0.09014712213241918
0.644,0.09242561606609712
0.661,0.09345289882292063
0.654,0.10336258092439127
0.671,0.08704589725212153
0.648,0.07313520104701113
0.566,0.02268937146927852
0.537,0.01920747936681641
0.509,0.019833170356819557
0.658,0.07776880196185565
0.644,0.08304974863645634
0.661,0.09297224802140958
0.656,0.06485587198109008
0.644,0.03576660730061154
