Acc,DP
0.663,0.07796703291619722
0.671,0.08251997949402701
0.657,0.09110908614421154
0.638,0.08729184514975175
0.661,0.0954467864694884
0.662,0.10764963061003263
0.679,0.09170410705985421
0.673,0.08666081960570038
0.641,0.018737620003379418
0.668,0.09844647042040555
0.675,0.10772872457662108
0.671,0.12174180949001212
0.68,0.10741568170927751
0.674,0.09535972648045277
0.607,0.02678051711525936
0.563,0.0024750494774062326
0.642,0.08993125394912299
0.645,0.08478983881874175
0.659,0.09390313620797436
0.661,0.09721964367055946
0.665,0.079646543192472
0.656,0.06364637809719031
0.571,0.008696711301294124
0.544,0.010555815186292505
0.494,0.02942164802473446
0.662,0.07900622469121293
0.642,0.09002568505140157
0.663,0.09603099686411126
0.657,0.07266743480307264
0.641,0.03341184952517107
