input_dim,Accuracy,Unfairness,lambda_reg,seed
9,0.6951102588686481,0.1270526271067225,0.0,2
9,0.6874400767018217,0.1203308364847732,0.5,2
9,0.6893576222435283,0.1112263392453259,1.0,2
9,0.6682646212847555,0.0854653352251093,1.5,2
9,0.6423777564717162,0.0542292492226311,2.0,2
9,0.6356663470757431,0.0322800005454852,2.5,2
9,0.6327900287631831,0.0242667797602219,3.0,2
9,0.6404602109300096,0.0174890103312112,3.5,2
9,0.6375838926174496,0.0153416459923943,4.0,2
9,0.6356663470757431,0.0132564588487384,4.5,2
9,0.6423777564717162,0.0118531591459874,5.0,2
