input_dim,Accuracy,Unfairness,lambda_reg,seed
9,0.6970278044103547,0.106445266170072,0.0,2
9,0.6931927133269415,0.1031598354560832,0.5,2
9,0.6931927133269415,0.096076389136672,1.0,2
9,0.6788111217641419,0.0830968117070523,1.5,2
9,0.663470757430489,0.0643871844272417,2.0,2
9,0.6481303930968361,0.0482206978874637,2.5,2
9,0.6414189837008629,0.0376888411060778,3.0,2
9,0.6395014381591563,0.0322548126377237,3.5,2
9,0.6433365292425696,0.0290407331028302,4.0,2
9,0.6442953020134228,0.0261829644823229,4.5,2
9,0.6347075743048898,0.0226354599284019,5.0,2
