input_dim,Accuracy,Unfairness,lambda_reg,seed
9,0.6970278044103547,0.1189632004185201,0.0,2
9,0.6931927133269415,0.1188877712800114,0.5,2
9,0.6931927133269415,0.1135598632742516,1.0,2
9,0.6788111217641419,0.1016839959645265,1.5,2
9,0.663470757430489,0.0850923084105669,2.0,2
9,0.6481303930968361,0.0685316328000012,2.5,2
9,0.6414189837008629,0.0580582763320524,3.0,2
9,0.6395014381591563,0.0518391685291081,3.5,2
9,0.6433365292425696,0.0477900626188744,4.0,2
9,0.6442953020134228,0.0446017787935673,4.5,2
9,0.6347075743048898,0.0386143128687892,5.0,2
