lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,2.0,800,10000,512,0.97375,0.06404052662055926,,,
0.0,3.0,800,10000,512,0.9775,0.06617355576573652,,,
0.0,4.0,800,10000,512,0.97375,0.0649970692847297,,,
0.2,2.0,800,10000,512,0.97,0.22084609377331776,,,
0.2,3.0,800,10000,512,0.966875,0.2250623026819783,,,
0.2,4.0,800,10000,512,0.968125,0.223752794332497,,,
0.4,2.0,800,10000,512,0.94375,0.3754273211806767,,,
0.4,3.0,800,10000,512,0.945,0.3756548589907028,,,
0.4,4.0,800,10000,512,0.939375,0.3880864547156073,,,
0.6,2.0,800,10000,512,0.48375,0.4752084514187579,,,
0.6,3.0,800,10000,512,0.48625,0.48874882769551786,,,
0.6,4.0,800,10000,512,0.484375,0.47443978365136047,,,
0.8,2.0,800,10000,512,0.484375,0.5532877680037998,,,
0.8,3.0,800,10000,512,0.48,0.5510224827835011,,,
0.8,4.0,800,10000,512,0.47625,0.5552986690124564,,,
1.0,2.0,800,10000,512,0.475,0.6010581502692308,,,
1.0,3.0,800,10000,512,0.47625,0.5920277464762327,,,
1.0,4.0,800,10000,512,0.478125,0.6048083033475693,,,
1.2,2.0,800,10000,512,0.47375,0.6358389569785468,,,
1.2,3.0,800,10000,512,0.47625,0.643273280605999,,,
1.2,4.0,800,10000,512,0.475625,0.6471997983728054,,,
1.4,2.0,800,10000,512,0.47375,0.672362333534265,,,
1.4,3.0,800,10000,512,0.47375,0.6738873902579037,,,
1.4,4.0,800,10000,512,0.471875,0.674130656007758,,,
1.6,2.0,800,10000,512,0.475,0.7006713899314229,,,
1.6,3.0,800,10000,512,0.47125,0.7016574991933291,,,
1.6,4.0,800,10000,512,0.471875,0.6973085632149467,,,
1.8,2.0,800,10000,512,0.469375,0.713059239763081,,,
1.8,3.0,800,10000,512,0.46875,0.718020715936637,,,
1.8,4.0,800,10000,512,0.470625,0.7170924626783454,,,
2.0,2.0,800,10000,512,0.468125,0.733310212433186,,,
2.0,3.0,800,10000,512,0.468125,0.7284193716263577,,,
