lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.02,2.0,800,10000,512,0.97,0.03946460742660468,,,
0.02,3.0,800,10000,512,0.970625,0.031423862529491364,,,
0.02,4.0,800,10000,512,0.970625,0.04054255274787316,,,
0.04,2.0,800,10000,512,0.9675,0.01026219399973044,,,
0.04,3.0,800,10000,512,0.971875,0.0018904138408337712,,,
0.04,4.0,800,10000,512,0.970625,0.007100341646579356,,,
0.06,2.0,800,10000,512,0.963125,0.05132178769647644,,,
0.06,3.0,800,10000,512,0.96625,0.0364612311729306,,,
0.06,4.0,800,10000,512,0.966875,0.04217019491119567,,,
0.08,2.0,800,10000,512,0.96875,0.07657877768682186,,,
0.08,3.0,800,10000,512,0.96875,0.06629690966410007,,,
0.08,4.0,800,10000,512,0.965,0.06145856711906572,,,
0.0,2.0,800,10000,512,0.97375,0.06404052662055926,,,
0.0,3.0,800,10000,512,0.9775,0.06617355576573652,,,
0.0,4.0,800,10000,512,0.97375,0.0649970692847297,,,
0.12,2.0,800,10000,512,0.973125,0.1339452424244696,,,
0.12,3.0,800,10000,512,0.968125,0.13531522638300897,,,
0.12,4.0,800,10000,512,0.969375,0.12698560015378635,,,
0.14,2.0,800,10000,512,0.9675,0.14450376246969493,,,
0.14,3.0,800,10000,512,0.964375,0.15547383342291454,,,
0.14,4.0,800,10000,512,0.970625,0.15548589647379024,,,
0.16,2.0,800,10000,512,0.96375,0.18576087424705234,,,
0.16,3.0,800,10000,512,0.961875,0.18262373212457916,,,
0.16,4.0,800,10000,512,0.97,0.1884354316593932,,,
0.18,2.0,800,10000,512,0.966875,0.1984181144009478,,,
0.18,3.0,800,10000,512,0.965,0.19683349419780033,,,
0.18,4.0,800,10000,512,0.965625,0.2062732998377802,,,
0.1,2.0,800,10000,512,0.969375,0.09971388032907708,,,
0.1,3.0,800,10000,512,0.96875,0.09305670363543672,,,
0.1,4.0,800,10000,512,0.9625,0.09779853387896564,,,
0.2,2.0,800,10000,512,0.97,0.22084609377331776,,,
0.2,3.0,800,10000,512,0.966875,0.2250623026819783,,,
0.2,4.0,800,10000,512,0.968125,0.223752794332497,,,
0.4,2.0,800,10000,512,0.94375,0.3754273211806767,,,
0.4,3.0,800,10000,512,0.945,0.3756548589907028,,,
0.4,4.0,800,10000,512,0.939375,0.3880864547156073,,,
0.6,2.0,800,10000,512,0.48375,0.4752084514187579,,,
0.6,3.0,800,10000,512,0.48625,0.48874882769551786,,,
0.6,4.0,800,10000,512,0.484375,0.47443978365136047,,,
0.8,2.0,800,10000,512,0.484375,0.5532877680037998,,,
0.8,3.0,800,10000,512,0.48,0.5510224827835011,,,
0.8,4.0,800,10000,512,0.47625,0.5552986690124564,,,
1.0,2.0,800,10000,512,0.475,0.6010581502692308,,,
1.0,3.0,800,10000,512,0.47625,0.5920277464762327,,,
1.0,4.0,800,10000,512,0.478125,0.6048083033475693,,,
1.2,2.0,800,10000,512,0.47375,0.6358389569785468,,,
1.2,3.0,800,10000,512,0.47625,0.643273280605999,,,
1.2,4.0,800,10000,512,0.475625,0.6471997983728054,,,
1.4,2.0,800,10000,512,0.47375,0.672362333534265,,,
1.4,3.0,800,10000,512,0.47375,0.6738873902579037,,,
1.4,4.0,800,10000,512,0.471875,0.674130656007758,,,
1.6,2.0,800,10000,512,0.475,0.7006713899314229,,,
1.6,3.0,800,10000,512,0.47125,0.7016574991933291,,,
1.6,4.0,800,10000,512,0.471875,0.6973085632149467,,,
1.8,2.0,800,10000,512,0.469375,0.713059239763081,,,
1.8,3.0,800,10000,512,0.46875,0.718020715936637,,,
1.8,4.0,800,10000,512,0.470625,0.7170924626783454,,,
2.0,2.0,800,10000,512,0.468125,0.733310212433186,,,
2.0,3.0,800,10000,512,0.468125,0.7284193716263577,,,
