lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.02,2.0,10,190000,512,0.7333543704638688,0.025000178193307077,,,
0.02,3.0,10,190000,512,0.7374566109182707,0.024013520295828372,,,
0.02,4.0,10,190000,512,0.7443988639949511,0.023537675548622794,,,
0.04,2.0,10,190000,512,0.7292521300094668,0.05078960140352995,,,
0.04,3.0,10,190000,512,0.7311454717576522,0.029622805894357007,,,
0.04,4.0,10,190000,512,0.7412432944146419,0.03508845921844067,,,
0.06,2.0,10,190000,512,0.7390343957084253,0.07877240548350767,,,
0.06,3.0,10,190000,512,0.7396655096244872,0.0532885069931508,,,
0.06,4.0,10,190000,512,0.7260965604291575,0.0656911840994282,,,
0.08,2.0,10,190000,512,0.7390343957084253,0.09854780831563537,,,
0.08,3.0,10,190000,512,0.7330388135058378,0.06695336396261409,,,
0.08,4.0,10,190000,512,0.74061218049858,0.08328531354604352,,,
0.0,2.0,10,190000,512,0.7336699274218996,0.013475297246226814,,,
0.0,3.0,10,190000,512,0.7431366361628274,0.0017889402954143763,,,
0.0,4.0,10,190000,512,0.7434521931208583,0.023872485575823665,,,
0.12,2.0,10,190000,512,0.7339854843799306,0.12176971613936627,,,
0.12,3.0,10,190000,512,0.7301988008835595,0.1083637804899964,,,
0.12,4.0,10,190000,512,0.7339854843799306,0.1251758355592698,,,
0.14,2.0,10,190000,512,0.7333543704638688,0.1364407428240354,,,
0.14,3.0,10,190000,512,0.7368254970022089,0.1356294410140857,,,
0.14,4.0,10,190000,512,0.7257810034711265,0.13322957435027638,,,
0.16,2.0,10,190000,512,0.7358788261281162,0.14795838027974711,,,
0.16,3.0,10,190000,512,0.7418744083307037,0.14807990530349507,,,
0.16,4.0,10,190000,512,0.7349321552540233,0.15914050200510366,,,
0.18,2.0,10,190000,512,0.736194383086147,0.1591911543743595,,,
0.18,3.0,10,190000,512,0.7409277374566109,0.15706943848106214,,,
0.18,4.0,10,190000,512,0.7475544335752603,0.16811924200704265,,,
0.1,2.0,10,190000,512,0.74061218049858,0.09737962263542194,,,
0.1,3.0,10,190000,512,0.7336699274218996,0.08733967120862862,,,
0.1,4.0,10,190000,512,0.7431366361628274,0.08626901224349787,,,
0.2,2.0,10,190000,512,0.7346165982959925,0.17756730027966416,,,
0.2,3.0,10,190000,512,0.7343010413379615,0.1846578890532844,,,
0.2,4.0,10,190000,512,0.7384032817923635,0.1721837196420804,,,
0.4,2.0,10,190000,512,0.7065320290312401,0.2716130013772432,,,
0.4,3.0,10,190000,512,0.7103187125276113,0.27798519510477737,,,
0.4,4.0,10,190000,512,0.6964342063742506,0.3053409779427597,,,
0.6,2.0,10,190000,512,0.5528557904701799,0.33577794411225326,,,
0.6,3.0,10,190000,512,0.5534869043862417,0.36336009178677064,,,
0.6,4.0,10,190000,512,0.5512780056800253,0.3600479752442801,,,
0.8,2.0,10,190000,512,0.543704638687283,0.38988580149444685,,,
0.8,3.0,10,190000,512,0.544020195645314,0.3916327852924996,,,
0.8,4.0,10,190000,512,0.544020195645314,0.40678128359499377,,,
1.0,2.0,10,190000,512,0.531397917324077,0.44341035859742595,,,
1.0,3.0,10,190000,512,0.5389712843168192,0.4315247956414441,,,
1.0,4.0,10,190000,512,0.5276112338277059,0.44089880847853297,,,
1.2,2.0,10,190000,512,0.5348690438624172,0.46316103207006426,,,
1.2,3.0,10,190000,512,0.5348690438624172,0.47157415533848723,,,
1.2,4.0,10,190000,512,0.5336068160302935,0.4747803664527962,,,
1.4,2.0,10,190000,512,0.5260334490375512,0.5008698045360839,,,
1.4,3.0,10,190000,512,0.5235089933733039,0.47915832690405535,,,
1.4,4.0,10,190000,512,0.5231934364152729,0.4878486340856078,,,
1.6,2.0,10,190000,512,0.5279267907857368,0.4905373242889062,,,
1.6,3.0,10,190000,512,0.5257178920795204,0.5149276393098349,,,
1.6,4.0,10,190000,512,0.5206689807510255,0.5133227296866606,,,
1.8,2.0,10,190000,512,0.5222467655411802,0.5162894574803448,,,
1.8,3.0,10,190000,512,0.5244556642473966,0.5069052190181187,,,
1.8,4.0,10,190000,512,0.5288734616598296,0.5177296052360347,,,
2.0,2.0,10,190000,512,0.510571158094036,0.5267754237069877,,,
2.0,3.0,10,190000,512,0.5153045124644998,0.5227976307450569,,,
