lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,2.0,3,190000,512,0.7336699274218996,0.0175405068871501,,,
0.0,3.0,3,190000,512,0.7314610287156832,0.026575013170587303,,,
0.0,4.0,3,190000,512,0.7434521931208583,0.022310831359490746,,,
0.2,2.0,3,190000,512,0.7346165982959925,0.05077767049502176,,,
0.2,3.0,3,190000,512,0.7286210160934049,0.016175143328054115,,,
0.2,4.0,3,190000,512,0.7374566109182707,0.0231707993103909,,,
0.4,2.0,3,190000,512,0.7210476491006627,0.19893527366209815,,,
0.4,3.0,3,190000,512,0.7292521300094668,0.11817777250825406,,,
0.4,4.0,3,190000,512,0.7204165351846008,0.17293547047893076,,,
0.6,2.0,3,190000,512,0.5582202587567056,0.6560003055663137,,,
0.6,3.0,3,190000,512,0.5686336383717261,0.6365890927347826,,,
0.6,4.0,3,190000,512,0.5604291574629221,0.6456020195573768,,,
0.8,2.0,3,190000,512,0.543704638687283,0.6870698152930987,,,
0.8,3.0,3,190000,512,0.544020195645314,0.6997933143899273,,,
0.8,4.0,3,190000,512,0.544020195645314,0.7098988165164817,,,
1.0,2.0,3,190000,512,0.531397917324077,0.7184519180854756,,,
1.0,3.0,3,190000,512,0.5389712843168192,0.7049869920709781,,,
1.0,4.0,3,190000,512,0.5285579047017986,0.727759347302873,,,
1.2,2.0,3,190000,512,0.5348690438624172,0.7233170820502601,,,
1.2,3.0,3,190000,512,0.5348690438624172,0.7282301696019973,,,
1.2,4.0,3,190000,512,0.5336068160302935,0.7275213153656521,,,
1.4,2.0,3,190000,512,0.5260334490375512,0.7330064427064209,,,
1.4,3.0,3,190000,512,0.5235089933733039,0.7315203693765274,,,
1.4,4.0,3,190000,512,0.5231934364152729,0.7197211264218824,,,
1.6,2.0,3,190000,512,0.5279267907857368,0.7139200303891277,,,
1.6,3.0,3,190000,512,0.514673398548438,0.7324505899029674,,,
1.6,4.0,3,190000,512,0.5181445250867782,0.7181111161200486,,,
1.8,2.0,3,190000,512,0.5222467655411802,0.7332111851423693,,,
1.8,3.0,3,190000,512,0.5244556642473966,0.7347496734344401,,,
1.8,4.0,3,190000,512,0.5288734616598296,0.729741958875103,,,
2.0,2.0,3,190000,512,0.510571158094036,0.7378259479620578,,,
2.0,3.0,3,190000,512,0.5153045124644998,0.725624470881367,,,
2.0,4.0,3,190000,512,0.5216156516251184,0.7328438546916416,,,
