lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,2.0,3,190000,512,0.7336699274218996,0.012666388311759355,,,
0.0,3.0,3,190000,512,0.7314610287156832,0.023239378884263473,,,
0.0,4.0,3,190000,512,0.7434521931208583,0.015140314505338814,,,
0.2,2.0,3,190000,512,0.7346165982959925,0.17159485744295921,,,
0.2,3.0,3,190000,512,0.7286210160934049,0.15823141429017154,,,
0.2,4.0,3,190000,512,0.7374566109182707,0.16268539679414257,,,
0.4,2.0,3,190000,512,0.7210476491006627,0.2856091167959004,,,
0.4,3.0,3,190000,512,0.7292521300094668,0.2687005694686665,,,
0.4,4.0,3,190000,512,0.7204165351846008,0.2928783281225469,,,
0.6,2.0,3,190000,512,0.5582202587567056,0.341050596211647,,,
0.6,3.0,3,190000,512,0.5686336383717261,0.3418603304142752,,,
0.6,4.0,3,190000,512,0.5604291574629221,0.3596688162827713,,,
0.8,2.0,3,190000,512,0.543704638687283,0.38693090643710615,,,
0.8,3.0,3,190000,512,0.544020195645314,0.3885947619933175,,,
0.8,4.0,3,190000,512,0.544020195645314,0.40361743406445394,,,
1.0,2.0,3,190000,512,0.531397917324077,0.4409534363082888,,,
1.0,3.0,3,190000,512,0.5389712843168192,0.4287838225766986,,,
1.0,4.0,3,190000,512,0.5285579047017986,0.4455695709412121,,,
1.2,2.0,3,190000,512,0.5348690438624172,0.46058313911957016,,,
1.2,3.0,3,190000,512,0.5348690438624172,0.4693173235986009,,,
1.2,4.0,3,190000,512,0.5336068160302935,0.4718903425152312,,,
1.4,2.0,3,190000,512,0.5260334490375512,0.49920954401717943,,,
1.4,3.0,3,190000,512,0.5235089933733039,0.477238737111485,,,
1.4,4.0,3,190000,512,0.5231934364152729,0.4857219164306849,,,
1.6,2.0,3,190000,512,0.5279267907857368,0.489038831869702,,,
1.6,3.0,3,190000,512,0.514673398548438,0.5074819623831586,,,
1.6,4.0,3,190000,512,0.5181445250867782,0.5101857657627622,,,
1.8,2.0,3,190000,512,0.5222467655411802,0.5149298837799905,,,
1.8,3.0,3,190000,512,0.5244556642473966,0.5053389319476733,,,
1.8,4.0,3,190000,512,0.5288734616598296,0.515971835660162,,,
2.0,2.0,3,190000,512,0.510571158094036,0.526121312749599,,,
2.0,3.0,3,190000,512,0.5153045124644998,0.5216993215878303,,,
2.0,4.0,3,190000,512,0.5216156516251184,0.5315595611155972,,,
