lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,3.0,800,10000,512,0.9775,0.06617355576573652,,,
0.0,4.0,800,10000,512,0.97375,0.0649970692847297,,,
0.0,5.0,800,10000,512,0.970625,0.06253682080605599,,,
0.5,2.0,800,10000,512,0.974375,0.06264596080471907,,,
0.5,3.0,800,10000,512,0.9725,0.05942551857391071,,,
0.5,4.0,800,10000,512,0.9725,0.060721375719115234,,,
1.0,2.0,800,10000,512,0.96125,0.036590770706640185,,,
1.0,4.0,800,10000,512,0.946875,0.05121539874441222,,,
1.0,5.0,800,10000,512,0.958125,0.049915345927082466,,,
1.5,3.0,800,10000,512,0.900625,0.030086506020664205,,,
1.5,4.0,800,10000,512,0.9175,0.03099637770340602,,,
1.5,5.0,800,10000,512,0.9175,0.03525782671645372,,,
2.0,2.0,800,10000,512,0.885,0.03437205867569948,,,
2.0,3.0,800,10000,512,0.885,0.038213474636758726,,,
2.0,4.0,800,10000,512,0.883125,0.03402216969644245,,,
2.0,5.0,800,10000,512,0.885625,0.0391878876085725,,,
2.5,3.0,800,10000,512,0.83625,0.033449889799782584,,,
2.5,4.0,800,10000,512,0.8425,0.030895019131594426,,,
2.5,5.0,800,10000,512,0.856875,0.03613234078719951,,,
3.0,2.0,800,10000,512,0.81625,0.014951146117237024,,,
3.0,3.0,800,10000,512,0.81,0.023619976614691063,,,
3.0,4.0,800,10000,512,0.823125,0.03044759482542647,,,
3.0,5.0,800,10000,512,0.759375,0.005749282608437545,,,
3.5,2.0,800,10000,512,0.78,0.012113351689189478,,,
3.5,3.0,800,10000,512,0.76125,0.002284133298796731,,,
3.5,4.0,800,10000,512,0.775,0.004689690167109184,,,
3.5,5.0,800,10000,512,0.7675,0.007738807754776311,,,
4.0,2.0,800,10000,512,0.76625,0.0008985885732996635,,,
4.0,3.0,800,10000,512,0.495625,8.094616956944023e-06,,,
4.0,4.0,800,10000,512,0.775,0.001389556058133734,,,
4.0,5.0,800,10000,512,0.76875,0.0008542928443860953,,,
4.5,2.0,800,10000,512,0.700625,0.000541902659083382,,,
4.5,3.0,800,10000,512,0.765,0.00013159152361597037,,,
4.5,4.0,800,10000,512,0.61375,2.3786288779026332e-05,,,
4.5,5.0,800,10000,512,0.520625,7.976680627130861e-06,,,
5.0,2.0,800,10000,512,0.7725,0.00042812678653103564,,,
5.0,3.0,800,10000,512,0.77125,0.000126893281155116,,,
5.0,4.0,800,10000,512,0.505625,4.782344683262885e-06,,,
5.0,5.0,800,10000,512,0.771875,0.0004006403571713557,,,
