lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,2.0,800,10000,512,0.97375,0.06404052662055926,,,
0.0,5.0,800,10000,512,0.970625,0.06253682080605599,,,
0.5,2.0,800,10000,512,0.974375,0.06264596080471907,,,
0.5,3.0,800,10000,512,0.9725,0.05942551857391071,,,
0.5,4.0,800,10000,512,0.9725,0.060721375719115234,,,
0.5,5.0,800,10000,512,0.973125,0.06638268988995033,,,
1.0,2.0,800,10000,512,0.960625,0.05800326291569563,,,
1.0,3.0,800,10000,512,0.96625,0.05256984445921847,,,
1.0,4.0,800,10000,512,0.955625,0.04289321410352753,,,
1.5,2.0,800,10000,512,0.9375,0.03745087712603368,,,
1.5,3.0,800,10000,512,0.936875,0.043854685076377686,,,
1.5,4.0,800,10000,512,0.938125,0.04902534445773643,,,
1.5,5.0,800,10000,512,0.946875,0.043270706702815576,,,
2.0,2.0,800,10000,512,0.9275,0.03572604361786691,,,
2.0,3.0,800,10000,512,0.903125,0.03995239249867977,,,
2.0,4.0,800,10000,512,0.921875,0.0494902207220253,,,
2.0,5.0,800,10000,512,0.91,0.026518865438662886,,,
2.5,3.0,800,10000,512,0.8775,0.04474126111177701,,,
2.5,4.0,800,10000,512,0.8975,0.05537315432049006,,,
3.0,2.0,800,10000,512,0.81625,0.014951146117237024,,,
3.0,4.0,800,10000,512,0.878125,0.029602137642781856,,,
3.5,2.0,800,10000,512,0.78,0.012113351689189478,,,
3.5,3.0,800,10000,512,0.76125,0.002284133298796731,,,
3.5,4.0,800,10000,512,0.775,0.004689690167109184,,,
4.0,2.0,800,10000,512,0.76625,0.0008985885732996635,,,
4.0,3.0,800,10000,512,0.495625,9.809247536463062e-08,,,
4.0,4.0,800,10000,512,0.775,0.001389556058133734,,,
4.0,5.0,800,10000,512,0.76875,0.0008542928443860953,,,
4.5,3.0,800,10000,512,0.765,0.00013159152361597037,,,
4.5,4.0,800,10000,512,0.61375,2.3786288779026332e-05,,,
4.5,5.0,800,10000,512,0.495625,0.0,,,
5.0,2.0,800,10000,512,0.495625,5.555683690872115e-10,,,
5.0,5.0,800,10000,512,0.771875,0.0004006403571713557,,,
