lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.05,2.0,3,190000,512,0.7466077627011676,0.04204581652563233,,,
0.0,2.0,3,190000,512,0.7336699274218996,0.0175405068871501,,,
0.0,3.0,3,190000,512,0.7431366361628274,0.012672202928826773,,,
0.0,4.0,3,190000,512,0.7434521931208583,0.022310831359490746,,,
0.15,2.0,3,190000,512,0.7286210160934049,0.0115218329451032,,,
0.1,2.0,3,190000,512,0.7339854843799306,0.00800658414319888,,,
0.25,2.0,3,190000,512,0.7431366361628274,0.0072742482184977725,,,
0.2,2.0,3,190000,512,0.7333543704638688,0.01054360995784262,,,
0.35,2.0,3,190000,512,0.736194383086147,0.007957523586051132,,,
0.3,2.0,3,190000,512,0.7314610287156832,0.009058531941581571,,,
0.45,2.0,3,190000,512,0.539602398232881,0.002084441464611212,,,
0.4,2.0,3,190000,512,0.7235721047649101,0.027397458065358322,,,
0.5,3.0,3,190000,512,0.5402335121489429,0.0,,,
0.5,4.0,3,190000,512,0.5402335121489429,0.0,,,
1.0,2.0,3,190000,512,0.5402335121489429,0.0,,,
1.0,3.0,3,190000,512,0.5402335121489429,0.0,,,
1.0,4.0,3,190000,512,0.5402335121489429,0.0,,,
1.5,2.0,3,190000,512,0.5402335121489429,0.0,,,
1.5,3.0,3,190000,512,0.5402335121489429,0.0,,,
1.5,4.0,3,190000,512,0.5402335121489429,0.0,,,
2.0,2.0,3,190000,512,0.5402335121489429,0.0,,,
2.0,3.0,3,190000,512,0.5402335121489429,0.0,,,
2.0,4.0,3,190000,512,0.5402335121489429,0.0,,,
