lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.05,2.0,3,190000,512,0.9708970897089709,0.0059225703491723805,,,
0.0,2.0,3,190000,512,0.9687968796879688,0.006342973145759257,,,
0.0,3.0,3,190000,512,0.972997299729973,0.0037733926036886273,,,
0.0,4.0,3,190000,512,0.9711971197119712,0.010061351363791975,,,
0.15,2.0,3,190000,512,0.9681968196819682,0.012915488303665427,,,
0.1,2.0,3,190000,512,0.963996399639964,0.012797993418197852,,,
0.25,2.0,3,190000,512,0.9666966696669667,0.010656564106033956,,,
0.2,2.0,3,190000,512,0.9666966696669667,0.013093009672477658,,,
0.35,2.0,3,190000,512,0.9411941194119412,0.013044559471498227,,,
0.3,2.0,3,190000,512,0.9522952295229523,0.012415843496847713,,,
0.45,2.0,3,190000,512,0.5124512451245125,0.02176690580773191,,,
0.4,2.0,3,190000,512,0.9111911191119112,0.019334388298583773,,,
0.5,3.0,3,190000,512,0.49504950495049505,0.016670175472071593,,,
0.5,4.0,3,190000,512,0.49504950495049505,0.019405038783882174,,,
1.0,2.0,3,190000,512,0.49504950495049505,0.0561387095048388,,,
1.0,3.0,3,190000,512,0.49504950495049505,0.041603018922388386,,,
1.0,4.0,3,190000,512,0.49504950495049505,0.04472104112426863,,,
1.5,2.0,3,190000,512,0.49504950495049505,0.0571596871846268,,,
1.5,3.0,3,190000,512,0.49504950495049505,0.0569521380214612,,,
1.5,4.0,3,190000,512,0.49504950495049505,0.05501510416320736,,,
2.0,2.0,3,190000,512,0.49504950495049505,0.0626812849562144,,,
2.0,3.0,3,190000,512,0.49504950495049505,0.06563974066957642,,,
2.0,4.0,3,190000,512,0.49504950495049505,0.06168098681497924,,,
