lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,0.0,1000,190000,9,0.6665,0.11391492426582783,,,
0.0,1.0,1000,190000,9,0.6665,0.1138213705862191,,,
0.0,2.0,1000,190000,9,0.666,0.114049848232737,,,
0.0,3.0,1000,190000,9,0.6665,0.1137426694798006,,,
0.0,4.0,1000,190000,9,0.666,0.113811072679319,,,
0.0,5.0,1000,190000,9,0.6665,0.11381438618054207,,,
0.0,7.0,1000,190000,9,0.666,0.11383812816816274,,,
0.0,8.0,1000,190000,9,0.6655,0.11370177940031478,,,
0.0,9.0,1000,190000,9,0.6665,0.11383619414613766,,,
0.25,0.0,1000,190000,9,0.6635,0.09733464418352733,,,
0.25,1.0,1000,190000,9,0.6635,0.0976116145427981,,,
0.25,2.0,1000,190000,9,0.6635,0.09762975973849902,,,
0.25,3.0,1000,190000,9,0.6635,0.09779614224671718,,,
0.25,4.0,1000,190000,9,0.6625,0.09803025042706442,,,
0.25,5.0,1000,190000,9,0.6635,0.09753495449418675,,,
0.25,7.0,1000,190000,9,0.663,0.09776936931678326,,,
0.25,8.0,1000,190000,9,0.663,0.09746965235625826,,,
0.25,9.0,1000,190000,9,0.662,0.09751465151181443,,,
0.5,0.0,1000,190000,9,0.6585,0.0763769356911132,,,
0.5,1.0,1000,190000,9,0.663,0.07714077118454965,,,
0.5,2.0,1000,190000,9,0.6635,0.07702837415807556,,,
0.5,3.0,1000,190000,9,0.6605,0.07740097715146554,,,
0.5,4.0,1000,190000,9,0.664,0.07742450157896269,,,
0.5,5.0,1000,190000,9,0.66,0.07672534337160536,,,
0.5,7.0,1000,190000,9,0.6595,0.07680724307019537,,,
0.5,8.0,1000,190000,9,0.663,0.07649085482839896,,,
0.5,9.0,1000,190000,9,0.6585,0.07711318183302573,,,
0.75,0.0,1000,190000,9,0.632,0.03750335006899036,,,
0.75,1.0,1000,190000,9,0.6405,0.05266432527283804,,,
0.75,2.0,1000,190000,9,0.6415,0.052263872618330875,,,
0.75,3.0,1000,190000,9,0.646,0.04992495436611155,,,
0.75,4.0,1000,190000,9,0.639,0.05192485493267862,,,
0.75,5.0,1000,190000,9,0.64,0.05166185842550691,,,
0.75,7.0,1000,190000,9,0.64,0.05071701082903113,,,
0.75,8.0,1000,190000,9,0.6435,0.0529665928865658,,,
0.75,9.0,1000,190000,9,0.6415,0.052836592664224746,,,
1.0,0.0,1000,190000,9,0.599,0.022091197069025625,,,
1.0,1.0,1000,190000,9,0.611,0.027480301168092913,,,
1.0,2.0,1000,190000,9,0.6105,0.02790664206641702,,,
1.0,3.0,1000,190000,9,0.6185,0.033967435234700416,,,
1.0,4.0,1000,190000,9,0.6105,0.026322464235225496,,,
1.0,5.0,1000,190000,9,0.603,0.02657584321078449,,,
1.0,7.0,1000,190000,9,0.608,0.02638269519823655,,,
1.0,8.0,1000,190000,9,0.6085,0.027183108228667596,,,
1.0,9.0,1000,190000,9,0.608,0.026689411008361474,,,
1.25,0.0,1000,190000,9,0.555,0.007466006053581442,,,
