lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,0.0,1000,190000,9,0.6665,0.11283240620050294,,,
0.0,1.0,1000,190000,9,0.6665,0.11267973292042477,,,
0.0,2.0,1000,190000,9,0.666,0.11288266060304153,,,
0.0,3.0,1000,190000,9,0.6665,0.11267637189310253,,,
0.0,4.0,1000,190000,9,0.666,0.11268509176061892,,,
0.0,5.0,1000,190000,9,0.6665,0.11269429365589168,,,
0.25,0.0,1000,190000,9,0.6605,0.08879737300101703,,,
0.25,1.0,1000,190000,9,0.666,0.09931779821375003,,,
0.25,2.0,1000,190000,9,0.666,0.09821685545567521,,,
0.25,3.0,1000,190000,9,0.665,0.10041519673569238,,,
0.25,4.0,1000,190000,9,0.6625,0.09987044179277227,,,
0.25,5.0,1000,190000,9,0.664,0.10059008326360647,,,
0.5,0.0,1000,190000,9,0.659,0.06729996839936453,,,
0.5,1.0,1000,190000,9,0.664,0.08132685454043925,,,
0.5,2.0,1000,190000,9,0.662,0.07870567102105963,,,
0.5,3.0,1000,190000,9,0.663,0.07029025775783349,,,
0.5,4.0,1000,190000,9,0.661,0.0842806550121602,,,
0.5,5.0,1000,190000,9,0.6655,0.08528512227114254,,,
0.75,0.0,1000,190000,9,0.6465,0.040750147730450825,,,
0.75,1.0,1000,190000,9,0.653,0.05683046586812446,,,
0.75,2.0,1000,190000,9,0.648,0.05276293932060483,,,
0.75,3.0,1000,190000,9,0.653,0.053034955511101434,,,
0.75,4.0,1000,190000,9,0.6545,0.0614069816403352,,,
0.75,5.0,1000,190000,9,0.657,0.06471925001848355,,,
1.0,0.0,1000,190000,9,0.6145,0.026089557530593,,,
1.0,1.0,1000,190000,9,0.6095,0.030744427946079067,,,
1.0,2.0,1000,190000,9,0.6055,0.02811026250792492,,,
1.0,3.0,1000,190000,9,0.6305,0.03908225257217046,,,
1.0,4.0,1000,190000,9,0.62,0.038303550327248415,,,
1.0,5.0,1000,190000,9,0.636,0.04149437180123294,,,
1.25,0.0,1000,190000,9,0.5815,0.01664626801553082,,,
1.25,1.0,1000,190000,9,0.568,0.014032489575597384,,,
1.25,2.0,1000,190000,9,0.569,0.011806392673448352,,,
1.25,3.0,1000,190000,9,0.599,0.023945899369254897,,,
1.25,4.0,1000,190000,9,0.5895,0.019355512379788387,,,
1.25,5.0,1000,190000,9,0.5835,0.01997594608728409,,,
1.5,0.0,1000,190000,9,0.5595,0.011208577647828566,,,
1.5,1.0,1000,190000,9,0.549,0.003970915742148751,,,
1.5,2.0,1000,190000,9,0.5495,0.004440624594698017,,,
1.5,3.0,1000,190000,9,0.5615,0.010849506026514355,,,
1.5,4.0,1000,190000,9,0.556,0.008396791565866923,,,
1.5,5.0,1000,190000,9,0.551,0.00758291865279026,,,
1.75,0.0,1000,190000,9,0.551,0.008301564094835678,,,
1.75,1.0,1000,190000,9,0.549,0.0017045379431940844,,,
1.75,2.0,1000,190000,9,0.549,0.0016960410179251983,,,
1.75,3.0,1000,190000,9,0.549,0.00462692303210227,,,
1.75,4.0,1000,190000,9,0.549,0.002307362075516961,,,
1.75,5.0,1000,190000,9,0.552,0.00633567622004827,,,
2.0,0.0,1000,190000,9,0.549,0.006510933462302804,,,
2.0,1.0,1000,190000,9,0.549,0.0007449575575038114,,,
2.0,2.0,1000,190000,9,0.549,0.002947125554410346,,,
2.0,3.0,1000,190000,9,0.549,0.0015764209062271717,,,
2.0,4.0,1000,190000,9,0.549,0.0014824163784089017,,,
2.0,5.0,1000,190000,9,0.549,0.0024383255119816427,,,
2.25,0.0,1000,190000,9,0.549,0.0033609120161551265,,,
2.25,1.0,1000,190000,9,0.549,0.0008227143584951802,,,
2.25,2.0,1000,190000,9,0.549,0.0005186622248704587,,,
2.25,3.0,1000,190000,9,0.549,0.0014255379985416705,,,
2.25,4.0,1000,190000,9,0.549,0.0005446438777373386,,,
2.25,5.0,1000,190000,9,0.549,0.002312825490177528,,,
2.5,0.0,1000,190000,9,0.549,0.0016304149875996377,,,
2.5,1.0,1000,190000,9,0.549,0.0003484223960714683,,,
2.5,2.0,1000,190000,9,0.549,0.0006655801982243803,,,
2.5,3.0,1000,190000,9,0.549,0.0007995621322144375,,,
2.5,4.0,1000,190000,9,0.549,0.0003167819519783177,,,
2.5,5.0,1000,190000,9,0.549,0.0014762524658284981,,,
2.75,0.0,1000,190000,9,0.549,0.000595189499911053,,,
2.75,1.0,1000,190000,9,0.549,0.0005991315405479147,,,
2.75,2.0,1000,190000,9,0.549,0.0006796248410080308,,,
2.75,3.0,1000,190000,9,0.549,0.0006094465361626278,,,
2.75,4.0,1000,190000,9,0.549,0.0004344029236031943,,,
2.75,5.0,1000,190000,9,0.549,0.00036175511144476147,,,
3.0,0.0,1000,190000,9,0.549,0.0004084612941528398,,,
3.0,1.0,1000,190000,9,0.549,0.00018488996016063908,,,
3.0,2.0,1000,190000,9,0.549,0.0006477814398913595,,,
3.0,3.0,1000,190000,9,0.549,0.0006083820790115935,,,
3.0,4.0,1000,190000,9,0.549,0.0005763765914820751,,,
3.0,5.0,1000,190000,9,0.549,0.00036517222984522313,,,
3.25,0.0,1000,190000,9,0.549,0.0004603589514644568,,,
3.25,1.0,1000,190000,9,0.549,0.0003248802590653521,,,
3.25,2.0,1000,190000,9,0.549,0.0003026900060728588,,,
3.25,3.0,1000,190000,9,0.549,0.0005002549025037162,,,
3.25,4.0,1000,190000,9,0.549,0.0002066797997337111,,,
3.25,5.0,1000,190000,9,0.549,0.00019651655123148482,,,
3.5,0.0,1000,190000,9,0.549,0.0002773486362976363,,,
3.5,1.0,1000,190000,9,0.549,6.437801603004223e-05,,,
3.5,2.0,1000,190000,9,0.549,0.00014810961138006506,,,
3.5,3.0,1000,190000,9,0.549,0.00015803451462104157,,,
3.5,4.0,1000,190000,9,0.549,7.646429688146217e-06,,,
3.5,5.0,1000,190000,9,0.549,0.0002506831319341041,,,
3.75,0.0,1000,190000,9,0.549,0.00010294005159261488,,,
3.75,1.0,1000,190000,9,0.549,0.0002454466719476467,,,
3.75,2.0,1000,190000,9,0.549,0.00013238833688633544,,,
3.75,3.0,1000,190000,9,0.549,0.00015781981418727664,,,
3.75,4.0,1000,190000,9,0.549,9.975808898132765e-05,,,
3.75,5.0,1000,190000,9,0.549,0.00020752862486661527,,,
4.0,0.0,1000,190000,9,0.549,0.0003031135876049307,,,
4.0,1.0,1000,190000,9,0.549,7.588440398165197e-05,,,
4.0,2.0,1000,190000,9,0.549,0.0002498434490768031,,,
4.0,3.0,1000,190000,9,0.549,9.098115331529488e-05,,,
4.0,4.0,1000,190000,9,0.549,8.509482715718386e-05,,,
4.0,5.0,1000,190000,9,0.549,0.00029660381211249476,,,
4.25,0.0,1000,190000,9,0.549,0.0001845665471464919,,,
4.25,1.0,1000,190000,9,0.549,0.0002735184267897983,,,
4.25,2.0,1000,190000,9,0.549,6.994093186735162e-05,,,
4.25,3.0,1000,190000,9,0.549,0.0002511467449625715,,,
4.25,4.0,1000,190000,9,0.549,8.87362964039351e-05,,,
4.25,5.0,1000,190000,9,0.549,0.0002140213655014156,,,
4.5,0.0,1000,190000,9,0.549,4.126648978403091e-05,,,
4.5,1.0,1000,190000,9,0.549,0.0001954113518506384,,,
4.5,2.0,1000,190000,9,0.549,0.0001571075920097087,,,
4.5,3.0,1000,190000,9,0.549,0.00010153816396962778,,,
4.5,4.0,1000,190000,9,0.549,3.418243992647785e-05,,,
4.5,5.0,1000,190000,9,0.549,0.00032700971621807406,,,
4.75,0.0,1000,190000,9,0.549,0.0001776907014699458,,,
4.75,1.0,1000,190000,9,0.549,8.258246486575471e-05,,,
4.75,2.0,1000,190000,9,0.549,4.936626951068668e-05,,,
4.75,3.0,1000,190000,9,0.549,0.00038915143047185685,,,
4.75,4.0,1000,190000,9,0.549,0.00017470593849294724,,,
4.75,5.0,1000,190000,9,0.549,0.00022155539936419277,,,
5.0,0.0,1000,190000,9,0.549,0.00018595530490550516,,,
5.0,1.0,1000,190000,9,0.549,9.560062041907846e-05,,,
5.0,2.0,1000,190000,9,0.549,0.0003233104537240794,,,
5.0,3.0,1000,190000,9,0.549,6.166866268603188e-05,,,
5.0,4.0,1000,190000,9,0.549,0.00019936200837156193,,,
5.0,5.0,1000,190000,9,0.549,4.9350145588822336e-05,,,
