lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.05,2.0,3,190000,512,0.7466077627011676,0.03429602383493559,,,
0.0,2.0,3,190000,512,0.7336699274218996,0.012666388311759355,,,
0.0,3.0,3,190000,512,0.7431366361628274,0.01406547826432128,,,
0.0,4.0,3,190000,512,0.7434521931208583,0.015140314505338814,,,
0.15,2.0,3,190000,512,0.7286210160934049,0.009829824071587251,,,
0.1,2.0,3,190000,512,0.7339854843799306,0.0016930124346689474,,,
0.25,2.0,3,190000,512,0.7431366361628274,0.002181146082627969,,,
0.2,2.0,3,190000,512,0.7333543704638688,0.004331798524278535,,,
0.35,2.0,3,190000,512,0.736194383086147,0.008272052632439644,,,
0.3,2.0,3,190000,512,0.7314610287156832,0.007578795705911398,,,
0.45,2.0,3,190000,512,0.539602398232881,0.023238586504482975,,,
0.4,2.0,3,190000,512,0.7235721047649101,0.011348577699076073,,,
0.5,3.0,3,190000,512,0.5402335121489429,0.019447327225862697,,,
0.5,4.0,3,190000,512,0.5402335121489429,0.02199175008262555,,,
1.0,2.0,3,190000,512,0.5402335121489429,0.030363964611271714,,,
1.0,3.0,3,190000,512,0.5402335121489429,0.030030533254368275,,,
1.0,4.0,3,190000,512,0.5402335121489429,0.02753560094983281,,,
1.5,2.0,3,190000,512,0.5402335121489429,0.0345413374813565,,,
1.5,3.0,3,190000,512,0.5402335121489429,0.029119663357747086,,,
1.5,4.0,3,190000,512,0.5402335121489429,0.033103817080734815,,,
2.0,2.0,3,190000,512,0.5402335121489429,0.03404562697627746,,,
2.0,3.0,3,190000,512,0.5402335121489429,0.03651487578466518,,,
2.0,4.0,3,190000,512,0.5402335121489429,0.03454207840131242,,,
