lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.05,2.0,3,190000,512,0.9708970897089709,0.007023192404112781,,,
0.0,2.0,3,190000,512,0.9687968796879688,0.00762013857871327,,,
0.0,3.0,3,190000,512,0.972997299729973,0.004400041682781783,,,
0.0,4.0,3,190000,512,0.9711971197119712,0.006448045655296412,,,
0.15,2.0,3,190000,512,0.9681968196819682,0.009161631568979063,,,
0.1,2.0,3,190000,512,0.963996399639964,0.010382579962940364,,,
0.25,2.0,3,190000,512,0.9666966696669667,0.013240752174949218,,,
0.2,2.0,3,190000,512,0.9666966696669667,0.01323640820172009,,,
0.35,2.0,3,190000,512,0.9411941194119412,0.01600357153814142,,,
0.3,2.0,3,190000,512,0.9522952295229523,0.01581149322469702,,,
0.45,2.0,3,190000,512,0.5124512451245125,0.0010098713293014536,,,
0.4,2.0,3,190000,512,0.9111911191119112,0.030289447906929307,,,
0.5,3.0,3,190000,512,0.49504950495049505,0.0,,,
0.5,4.0,3,190000,512,0.49504950495049505,0.0,,,
1.0,2.0,3,190000,512,0.49504950495049505,0.0,,,
1.0,3.0,3,190000,512,0.49504950495049505,0.0,,,
1.0,4.0,3,190000,512,0.49504950495049505,0.0,,,
1.5,2.0,3,190000,512,0.49504950495049505,0.0,,,
1.5,3.0,3,190000,512,0.49504950495049505,0.0,,,
1.5,4.0,3,190000,512,0.49504950495049505,0.0,,,
2.0,2.0,3,190000,512,0.49504950495049505,0.0,,,
2.0,3.0,3,190000,512,0.49504950495049505,0.0,,,
2.0,4.0,3,190000,512,0.49504950495049505,0.0,,,
