lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,2.0,10,190000,512,0.7336699274218996,0.026848874598070727,,,
0.0,5.0,10,190000,512,0.736509940044178,0.035660416753664326,,,
0.5,2.0,10,190000,512,0.7418744083307037,0.0026024136635069417,,,
0.5,3.0,10,190000,512,0.744714420952982,0.028452415751451132,,,
0.5,4.0,10,190000,512,0.7513411170716314,0.028141312064141666,,,
0.5,5.0,10,190000,512,0.7421899652887346,0.013721134171294946,,,
1.0,2.0,10,190000,512,0.7409277374566109,0.019791623167828953,,,
1.0,3.0,10,190000,512,0.7453455348690439,0.0243078464943417,,,
1.0,4.0,10,190000,512,0.7399810665825182,0.013618407316156489,,,
1.5,2.0,10,190000,512,0.7305143578415904,0.006887710360379162,,,
1.5,3.0,10,190000,512,0.7399810665825182,0.0016929051655739658,,,
1.5,4.0,10,190000,512,0.7396655096244872,0.03453417964671984,,,
1.5,5.0,10,190000,512,0.7437677500788893,0.02727690316114756,,,
2.0,2.0,10,190000,512,0.7384032817923635,0.01207959243329021,,,
2.0,3.0,10,190000,512,0.7308299147996213,0.036505198981083176,,,
2.0,4.0,10,190000,512,0.7371410539602399,0.01378460767528289,,,
2.0,5.0,10,190000,512,0.7478699905332913,0.006569507662755214,,,
2.5,3.0,10,190000,512,0.7201009782265699,0.014194262329310536,,,
2.5,4.0,10,190000,512,0.7317765856737141,0.00675115880903665,,,
3.0,2.0,10,190000,512,0.7352477122120543,0.01447864033073043,,,
3.0,4.0,10,190000,512,0.7384032817923635,0.013690232596984986,,,
3.5,2.0,10,190000,512,0.7466077627011676,0.02487952561907547,,,
3.5,3.0,10,190000,512,0.7324076995897759,0.01693531548837024,,,
3.5,4.0,10,190000,512,0.7466077627011676,0.04135925168079502,,,
4.0,2.0,10,190000,512,0.7462922057431366,0.03593477262287553,,,
4.0,3.0,10,190000,512,0.4597664878510571,0.0,,,
4.0,4.0,10,190000,512,0.7582833701483118,0.026170292729778222,,,
4.0,5.0,10,190000,512,0.7358788261281162,0.028669144360462695,,,
4.5,3.0,10,190000,512,0.7374566109182707,0.04844448156345266,,,
4.5,4.0,10,190000,512,0.5957715367623856,0.0031365097924583446,,,
4.5,5.0,10,190000,512,0.4597664878510571,0.0,,,
5.0,2.0,10,190000,512,0.4597664878510571,0.0,,,
5.0,5.0,10,190000,512,0.7393499526664563,0.017610974234768484,,,
